"year,tech_category,adoption_rate"
"2016,Farm management software,0.35"
"2016,Automated milking,0.25"
"2016,Drones & imaging,0.15"
"2016,IoT sensors,0.2"
"2016,Robotic feeding,0.1"
"2017,Farm management software,0.4"
"2017,Automated milking,0.3"
"2017,Drones & imaging,0.2"
"2017,IoT sensors,0.25"
"2017,Robotic feeding,0.15"
"2018,Farm management software,0.45"
"2018,Automated milking,0.35"
"2018,Drones & imaging,0.25"
"2018,IoT sensors,0.3"
"2018,Robotic feeding,0.2"
"2019,Farm management software,0.5"
"2019,Automated milking,0.4"
"2019,Drones & imaging,0.3"
"2019,IoT sensors,0.35"
"2019,Robotic feeding,0.25"
"2020,Farm management software,0.55"
"2020,Automated milking,0.45"
"2020,Drones & imaging,0.35"
"2020,IoT sensors,0.4"
"2020,Robotic feeding,0.3"
"2021,Farm management software,0.6"
"2021,Automated milking,0.5"
"2021,Drones & imaging,0.4"
"2021,IoT sensors,0.45"
"2021,Robotic feeding,0.35"
"2022,Farm management software,0.65"
"2022,Automated milking,0.55"
"2022,Drones & imaging,0.45"
"2022,IoT sensors,0.5"
"2022,Robotic feeding,0.4"
"2023,Farm management software,0.7"
"2023,Automated milking,0.6"
"2023,Drones & imaging,0.5"
"2023,IoT sensors,0.55"
"2023,Robotic feeding,0.45"
"2024,Farm management software,0.75"
"2024,Automated milking,0.65"
"2024,Drones & imaging,0.55"
"2024,IoT sensors,0.6"
"2024,Robotic feeding,0.5"
